id,table_name,operation,record_id,changed_at,changed_by,old_values,new_values
1,donors,UPDATE,71,2026-09-10 06:15:47.916894,cryo_eng,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
2,inventory,VERIFY,12,2026-09-10 06:15:47.916894,auditor_qa,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
3,inventory,CRYO_CHECK,48,2026-09-10 06:15:47.916894,sysadmin,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
4,research,VERIFY,81,2026-09-10 06:15:47.916894,dr_sarah,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
5,donors,VERIFY,60,2026-09-10 06:15:47.916894,dr_sarah,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
6,inventory,VERIFY,7,2026-09-10 06:15:47.916894,cryo_eng,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
7,research,CRYO_CHECK,57,2026-09-10 06:15:47.916894,auditor_qa,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
8,storage,UPDATE,97,2026-09-10 06:15:47.916894,sysadmin,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
9,staff,INSERT,54,2026-09-10 06:15:47.916894,auditor_qa,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
10,inventory,CRYO_CHECK,96,2026-09-10 06:15:47.916894,sysadmin,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
11,patients,CRYO_CHECK,47,2026-09-10 06:15:47.916894,registry_nurse,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
12,inventory,INSERT,93,2026-09-10 06:15:47.916894,dr_sarah,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
13,inventory,UPDATE,26,2026-09-10 06:15:47.916894,cryo_eng,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
14,staff,CRYO_CHECK,65,2026-09-10 06:15:47.916894,dr_sarah,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
15,patients,VERIFY,10,2026-09-10 06:15:47.916894,cryo_eng,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
16,inventory,VERIFY,84,2026-09-10 06:15:47.916894,dr_sarah,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
17,patients,CRYO_CHECK,13,2026-09-10 06:15:47.916894,dr_sarah,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
18,staff,CRYO_CHECK,96,2026-09-10 06:15:47.916894,registry_nurse,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
19,patients,CRYO_CHECK,26,2026-09-10 06:15:47.916894,registry_nurse,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
20,storage,VERIFY,48,2026-09-10 06:15:47.916894,auditor_qa,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
21,patients,INSERT,34,2026-09-10 06:15:47.916894,registry_nurse,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
22,patients,INSERT,91,2026-09-10 06:15:47.916894,dr_sarah,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
23,inventory,VERIFY,53,2026-09-10 06:15:47.916894,registry_nurse,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
24,staff,CRYO_CHECK,60,2026-09-10 06:15:47.916894,registry_nurse,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
25,patients,CRYO_CHECK,43,2026-09-10 06:15:47.916894,auditor_qa,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
26,donors,INSERT,1,2026-09-10 06:15:47.916894,dr_sarah,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
27,patients,INSERT,38,2026-09-10 06:15:47.916894,lab_lead,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
28,research,UPDATE,19,2026-09-10 06:15:47.916894,cryo_eng,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
29,patients,UPDATE,92,2026-09-10 06:15:47.916894,sysadmin,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
30,research,INSERT,25,2026-09-10 06:15:47.916894,cryo_eng,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
31,staff,UPDATE,39,2026-09-10 06:15:47.916894,dr_sarah,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
32,donors,CRYO_CHECK,70,2026-09-10 06:15:47.917892,dr_sarah,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
33,donors,CRYO_CHECK,25,2026-09-10 06:15:47.917892,auditor_qa,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
34,donors,VERIFY,7,2026-09-10 06:15:47.917892,dr_sarah,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
35,donors,VERIFY,37,2026-09-10 06:15:47.917892,cryo_eng,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
36,donors,UPDATE,90,2026-09-10 06:15:47.917892,auditor_qa,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
37,research,INSERT,45,2026-09-10 06:15:47.917892,registry_nurse,,"{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
38,staff,VERIFY,46,2026-09-10 06:15:47.917892,cryo_eng,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
39,donors,VERIFY,93,2026-09-10 06:15:47.917892,sysadmin,"{""status"": ""Pending"", ""verified"": false}","{""status"": ""Active"", ""verified"": true, ""notes"": ""Approved by clinical team""}"
