research_id,project_name,lead_scientist,start_date,status,summary,created_at
1,Allogeneic HSC Engraftment Acceleration via Ex-Vivo Fucosylation,Dr. Deepak Sharma,2025-06-28,Ongoing,Investigating enzymatic cell surface fucosylation to improve bone marrow homing velocity in cord blood grafts.,2026-09-10 06:15:47.905438
2,CRISPR-Cas9 BCL11A Enhancer Editing for Sickle Cell Disease,Dr. Deepak Sharma,2026-01-23,Active,Autologous CD34+ editing inducing high fetal hemoglobin (HbF) expression to eliminate vaso-occlusive crises.,2026-09-10 06:15:47.905438
3,Mesenchymal Stem Cell Infusion for Steroid-Refractory Acute GVHD,Dr. Deepak Sharma,2024-06-12,Ongoing,Phase II trial evaluating third-party umbilical cord MSCs for suppressing gut and liver graft-versus-host disease.,2026-09-10 06:15:47.905438
4,Automated Closed-System Processing Protocol for Cord Blood Units,Dr. Meera Joshi,2025-11-12,Completed,Validation of closed centrifuge-based RBC depletion and volume reduction yielding >92% nucleated cell recovery.,2026-09-10 06:15:47.905438
5,15-Year Cryopreservation Potency Evaluation of CD34+ Stem Cells,Dr. Sunita Balasubramanian,2025-09-03,Completed,"Long-term biobank stability study confirming cell membrane viability, colony forming units (CFU), and engraftment capacity.",2026-09-10 06:15:47.905438
6,Post-Transplant Cyclophosphamide in Haploidentical Stem Cell Transplants,Dr. Sanjay Verma,2025-08-04,Active,Evaluating high-dose PTCy on days +3 and +4 to mitigate severe GVHD in half-matched familial donor recipients.,2026-09-10 06:15:47.905438
7,Induced Pluripotent Stem Cell (iPSC) Disease Modeling in AML,Dr. Sunita Balasubramanian,2025-07-27,Ongoing,Deriving patient-specific iPSC lines harboring FLT3-ITD and NPM1 mutations to screen targeted small-molecule inhibitors.,2026-09-10 06:15:47.905438
8,Cord Blood Derived Allogeneic CAR-NK Cell Therapy for CD19+ Lymphoma,Dr. Kavita Deshmukh,2024-08-13,Active,Off-the-shelf chimeric antigen receptor natural killer cells expanded from cryopreserved umbilical cord units.,2026-09-10 06:15:47.905438
9,Trehalose-Liposome Delivery as a Non-Toxic Alternative to DMSO,Dr. Priya Nambiar,2024-07-24,In Review,Engineering cryoprotectant formulations reducing post-thaw DMSO toxicity in pediatric autologous transplantations.,2026-09-10 06:15:47.905438
10,Cord Blood Regulatory T-Cells (Tregs) for Solid Organ Tolerance,Dr. Anita Nair,2025-05-17,Ongoing,Preclinical evaluation of ex-vivo expanded cord blood Tregs to prevent allograft rejection in pediatric kidney transplant.,2026-09-10 06:15:47.905438
11,Optimization of Granulocyte-Colony Stimulating Factor Mobilization Schedules,Dr. Meera Joshi,2024-09-26,Completed,Prospective comparative study of 4-day vs 5-day G-CSF dosing regimens on total CD34+ apheresis collection efficiency.,2026-09-10 06:15:47.905438
12,Spatial Transcriptomics of Bone Marrow Niches Post-Engraftment,Dr. Kavita Deshmukh,2025-06-23,Active,Single-cell spatial profiling mapping donor cell reconstitution dynamics across osteoblast and vascular niches.,2026-09-10 06:15:47.905438
13,Mitochondrial Transfer from MSCs to Injured Endothelial Tissues,Dr. Anita Nair,2026-01-12,Ongoing,Investigating tunneling nanotube mediated organelle donation to reverse radiation-induced vascular damage.,2026-09-10 06:15:47.905438
14,Pre-Transplant NGS Chimerism Profiling for Minimal Residual Disease,Dr. Elena Rostova,2025-03-05,Ongoing,Developing ultra-sensitive duplex sequencing tracking donor chimerism down to 0.001% sensitivity.,2026-09-10 06:15:47.905438
15,Hydrogel Scaffold 3D Culture of Wharton's Jelly Mesenchymal Progenitors,Dr. Sunita Balasubramanian,2024-11-15,Active,Biomimetic biomaterial matrices augmenting paracrine vascular endothelial growth factor (VEGF) secretion.,2026-09-10 06:15:47.905438
16,Cryopreservation of Whole Umbilical Cord Tissue for Bio-Repository Storage,Dr. Meera Joshi,2024-04-26,In Review,Standardizing slow-cooling protocols with programmable rate freezers to ensure multi-lineage differentiation.,2026-09-10 06:15:47.905438
17,Microfluidic Droplet Sorting of Rare Hematopoietic Stem Cell Subsets,Dr. Rohan Bhattacharya,2025-04-19,Ongoing,Acoustic microfluidics isolating CD34+ CD38- CD90+ CD45RA- long-term repopulating stem cells.,2026-09-10 06:15:47.905438
18,Immune Reconstitution Following CD34+ Selected Autologous Transplants,Dr. Kavita Deshmukh,2025-10-31,Completed,Five-year longitudinal follow-up tracking thymic output and T-cell receptor repertoire diversification.,2026-09-10 06:15:47.905438
19,Targeting Senescence-Associated Secretory Phenotype in Aged Biobank Samples,Dr. Vikramaditya Roy,2024-11-01,Active,Senolytic clearance of senescent stromal populations to restore juvenile proliferative potential in stored grafts.,2026-09-10 06:15:47.905438
20,Cold-Chain Continuous Temperature Telemetry across Air Transits,Dr. Elena Rostova,2026-01-06,Completed,Validating multi-sensor IoT cryogenic dry shipper telemetry during international stem cell courier transfers.,2026-09-10 06:15:47.905438
21,Allogeneic HSC Engraftment Acceleration via Ex-Vivo Fucosylation (Cohort 2),Dr. Rajesh Sengupta,2025-11-16,Ongoing,Investigating enzymatic cell surface fucosylation to improve bone marrow homing velocity in cord blood grafts.,2026-09-10 06:15:47.905438
22,CRISPR-Cas9 BCL11A Enhancer Editing for Sickle Cell Disease (Cohort 2),Dr. Elena Rostova,2026-03-29,Active,Autologous CD34+ editing inducing high fetal hemoglobin (HbF) expression to eliminate vaso-occlusive crises.,2026-09-10 06:15:47.905438
23,Mesenchymal Stem Cell Infusion for Steroid-Refractory Acute GVHD (Cohort 2),Dr. Anita Nair,2026-01-10,Ongoing,Phase II trial evaluating third-party umbilical cord MSCs for suppressing gut and liver graft-versus-host disease.,2026-09-10 06:15:47.905438
24,Automated Closed-System Processing Protocol for Cord Blood Units (Cohort 2),Dr. Deepak Sharma,2024-05-07,Completed,Validation of closed centrifuge-based RBC depletion and volume reduction yielding >92% nucleated cell recovery.,2026-09-10 06:15:47.905438
25,15-Year Cryopreservation Potency Evaluation of CD34+ Stem Cells (Cohort 2),Dr. Priya Nambiar,2026-06-03,Completed,"Long-term biobank stability study confirming cell membrane viability, colony forming units (CFU), and engraftment capacity.",2026-09-10 06:15:47.905438
26,Post-Transplant Cyclophosphamide in Haploidentical Stem Cell Transplants (Cohort 2),Dr. Rajesh Sengupta,2025-09-24,Active,Evaluating high-dose PTCy on days +3 and +4 to mitigate severe GVHD in half-matched familial donor recipients.,2026-09-10 06:15:47.905438
27,Induced Pluripotent Stem Cell (iPSC) Disease Modeling in AML (Cohort 2),Dr. Rajesh Sengupta,2025-10-03,Ongoing,Deriving patient-specific iPSC lines harboring FLT3-ITD and NPM1 mutations to screen targeted small-molecule inhibitors.,2026-09-10 06:15:47.905438
28,Cord Blood Derived Allogeneic CAR-NK Cell Therapy for CD19+ Lymphoma (Cohort 2),Dr. Meera Joshi,2024-06-12,Active,Off-the-shelf chimeric antigen receptor natural killer cells expanded from cryopreserved umbilical cord units.,2026-09-10 06:15:47.905438
29,Trehalose-Liposome Delivery as a Non-Toxic Alternative to DMSO (Cohort 2),Dr. Elena Rostova,2024-04-10,In Review,Engineering cryoprotectant formulations reducing post-thaw DMSO toxicity in pediatric autologous transplantations.,2026-09-10 06:15:47.905438
30,Cord Blood Regulatory T-Cells (Tregs) for Solid Organ Tolerance (Cohort 2),Dr. Priya Nambiar,2024-09-29,Ongoing,Preclinical evaluation of ex-vivo expanded cord blood Tregs to prevent allograft rejection in pediatric kidney transplant.,2026-09-10 06:15:47.905438
31,Optimization of Granulocyte-Colony Stimulating Factor Mobilization Schedules (Cohort 2),Dr. Sanjay Verma,2026-05-20,Completed,Prospective comparative study of 4-day vs 5-day G-CSF dosing regimens on total CD34+ apheresis collection efficiency.,2026-09-10 06:15:47.905438
32,Spatial Transcriptomics of Bone Marrow Niches Post-Engraftment (Cohort 2),Dr. Elena Rostova,2026-01-09,Active,Single-cell spatial profiling mapping donor cell reconstitution dynamics across osteoblast and vascular niches.,2026-09-10 06:15:47.905438
33,Mitochondrial Transfer from MSCs to Injured Endothelial Tissues (Cohort 2),Dr. Rajesh Sengupta,2025-12-28,Ongoing,Investigating tunneling nanotube mediated organelle donation to reverse radiation-induced vascular damage.,2026-09-10 06:15:47.905438
34,Pre-Transplant NGS Chimerism Profiling for Minimal Residual Disease (Cohort 2),Dr. Sanjay Verma,2026-04-29,Ongoing,Developing ultra-sensitive duplex sequencing tracking donor chimerism down to 0.001% sensitivity.,2026-09-10 06:15:47.905438
35,Hydrogel Scaffold 3D Culture of Wharton's Jelly Mesenchymal Progenitors (Cohort 2),Dr. Kavita Deshmukh,2025-03-04,Active,Biomimetic biomaterial matrices augmenting paracrine vascular endothelial growth factor (VEGF) secretion.,2026-09-10 06:15:47.905438
36,Cryopreservation of Whole Umbilical Cord Tissue for Bio-Repository Storage (Cohort 2),Dr. Priya Nambiar,2026-02-21,In Review,Standardizing slow-cooling protocols with programmable rate freezers to ensure multi-lineage differentiation.,2026-09-10 06:15:47.905438
37,Microfluidic Droplet Sorting of Rare Hematopoietic Stem Cell Subsets (Cohort 2),Dr. Priya Nambiar,2025-10-25,Ongoing,Acoustic microfluidics isolating CD34+ CD38- CD90+ CD45RA- long-term repopulating stem cells.,2026-09-10 06:15:47.905438
38,Immune Reconstitution Following CD34+ Selected Autologous Transplants (Cohort 2),Dr. Anita Nair,2024-05-12,Completed,Five-year longitudinal follow-up tracking thymic output and T-cell receptor repertoire diversification.,2026-09-10 06:15:47.905438
39,Targeting Senescence-Associated Secretory Phenotype in Aged Biobank Samples (Cohort 2),Dr. Vikramaditya Roy,2025-01-25,Active,Senolytic clearance of senescent stromal populations to restore juvenile proliferative potential in stored grafts.,2026-09-10 06:15:47.905438
40,Cold-Chain Continuous Temperature Telemetry across Air Transits (Cohort 2),Dr. Sunita Balasubramanian,2025-01-28,Completed,Validating multi-sensor IoT cryogenic dry shipper telemetry during international stem cell courier transfers.,2026-09-10 06:15:47.905438
41,Allogeneic HSC Engraftment Acceleration via Ex-Vivo Fucosylation (Cohort 3),Dr. Deepak Sharma,2025-08-19,Ongoing,Investigating enzymatic cell surface fucosylation to improve bone marrow homing velocity in cord blood grafts.,2026-09-10 06:15:47.905438
42,CRISPR-Cas9 BCL11A Enhancer Editing for Sickle Cell Disease (Cohort 3),Dr. Sunita Balasubramanian,2024-09-01,Active,Autologous CD34+ editing inducing high fetal hemoglobin (HbF) expression to eliminate vaso-occlusive crises.,2026-09-10 06:15:47.905438
43,Mesenchymal Stem Cell Infusion for Steroid-Refractory Acute GVHD (Cohort 3),Dr. Arvind Swaminathan,2026-05-25,Ongoing,Phase II trial evaluating third-party umbilical cord MSCs for suppressing gut and liver graft-versus-host disease.,2026-09-10 06:15:47.905438
44,Automated Closed-System Processing Protocol for Cord Blood Units (Cohort 3),Dr. Rohan Bhattacharya,2025-06-13,Completed,Validation of closed centrifuge-based RBC depletion and volume reduction yielding >92% nucleated cell recovery.,2026-09-10 06:15:47.905438
45,15-Year Cryopreservation Potency Evaluation of CD34+ Stem Cells (Cohort 3),Dr. Meera Joshi,2026-05-07,Completed,"Long-term biobank stability study confirming cell membrane viability, colony forming units (CFU), and engraftment capacity.",2026-09-10 06:15:47.905438
46,Post-Transplant Cyclophosphamide in Haploidentical Stem Cell Transplants (Cohort 3),Dr. Meera Joshi,2026-06-30,Active,Evaluating high-dose PTCy on days +3 and +4 to mitigate severe GVHD in half-matched familial donor recipients.,2026-09-10 06:15:47.905438
47,Induced Pluripotent Stem Cell (iPSC) Disease Modeling in AML (Cohort 3),Dr. Elena Rostova,2026-05-22,Ongoing,Deriving patient-specific iPSC lines harboring FLT3-ITD and NPM1 mutations to screen targeted small-molecule inhibitors.,2026-09-10 06:15:47.905438
