staff_id,name,role,department,created_at
1,Dr. Sharat Damodar,Doctor,Adult Haemato-Oncology & BMT; cellular therapy; CAR-T,2026-09-12 13:52:39
2,Dr. Shilpa Prabhu,Doctor,Adult Haemato-Oncology & BMT; cellular therapy; CAR-T,2026-09-12 13:52:39
3,Dr. Sunil Bhat,Doctor,Paediatric Haemato-Oncology & BMT; paediatric stem-cell transplantation; CAR-T,2026-09-12 13:52:39
4,Dr. Pooja P. Mallya,Doctor,Paediatric Haemato-Oncology & BMT; paediatric BMT and cellular therapy,2026-09-12 13:52:39
5,Dr. Shobha B,Doctor,Paediatric Haemato-Oncology & BMT; paediatric BMT/cellular therapy,2026-09-12 13:52:39
6,Dr. Suparno Chakrabarti,Doctor,"Senior Consultant & HOD, Haemato-Oncology & Bone Marrow Transplant",2026-09-12 13:52:39
7,Dr. Sarita Rani Jaiswal,Doctor,"Program Director, Haploidentical BMT; BMT & Haematology",2026-09-12 13:52:39
8,Dr. Megha Saroha,Doctor,Paediatric Haemato-Oncology & Bone Marrow Transplant,2026-09-12 13:52:39
9,Dr. Ashish Dixit,Doctor,Clinical Haematology; Blood & Marrow Transplant,2026-09-12 13:52:39
10,Dr. Dharma Choudhary,Doctor,Haematology and BMT,2026-09-12 13:52:39
11,Dr. Lalit Kumar,Doctor,Haematology/oncology; blood stem-cell/bone-marrow transplantation,2026-09-12 13:52:39
12,Dr. Ashray Kole,Doctor,Haematology & BMT; haemato-oncology and bone-marrow transplantation,2026-09-12 13:52:39
13,Dr. Shyam Rathi,Doctor,Haematology and Bone Marrow Transplant,2026-09-12 13:52:39
14,Dr. Prathamesh Kulkarni,Doctor,"Haematology, haemato-oncology & stem-cell transplantation",2026-09-12 13:52:39
15,Dr. Santanu Sen,Doctor,"Paediatric haematology, oncology, BMT & cellular therapy",2026-09-12 13:52:39
16,Dr. Shrinath Kshirsaga,Doctor,"Haematology, haemato-oncology & BMT",2026-09-12 13:52:39
17,Dr. Lalit Raut,Doctor,Haematology & Bone Marrow Transplant,2026-09-12 13:52:39
