id,bank_name,location
1,LifeCell International Pvt. Ltd.,"Chennai, Tamil Nadu; storage facility also in Gurugram, Haryana"
2,CryoViva Biotech India Pvt. Ltd.,"Gurugram, Haryana"
3,Cordlife Sciences India Pvt. Ltd.,"Kolkata / Bishnupur, West Bengal"
4,BioCell / Regrow Biosciences Pvt. Ltd.,Maharashtra
5,Cryo StemCell,"Bengaluru, Karnataka"
6,Cryovault Biotech Pvt. Ltd.,"Bengaluru, Karnataka"
7,Novacord / Totipotent RX Cell Therapy Pvt. Ltd.,"Gurugram, Haryana"
8,ReeLabs Pvt. Ltd.,Mumbai
9,Reliance Life Sciences Pvt. Ltd.,"Navi Mumbai, Maharashtra"
10,StemPlus Cryopreservation Pvt. Ltd.,"Sangli, Maharashtra"
11,StemCyte India Therapeutics Pvt. Ltd.,"Gandhinagar, Gujarat"
12,Narayana Hrudayalaya Tissue Bank & Stem Cells Research Centre,"Bengaluru, Karnataka"
13,Cryo Save (India) Pvt. Ltd.,"Bengaluru, Karnataka"
14,International Stem Cell Services Ltd. (ISSL),"Bengaluru, Karnataka"
15,Unistem Bio Sciences Pvt. Ltd.,"Gurugram, Haryana"
16,Best Wellcare Management Services Pvt. Ltd. (Indu Stem Cell Bank),"Vadodara, Gujarat"
17,Path Care Labs Pvt. Ltd.,"Ranga Reddy district, Andhra Pradesh in the government record"
18,Cryobanks International India Pvt. Ltd.,"Gurugram, Haryana"
