storage_id,storage_location,collected_date,expiry_date,units,donor_id
1,CryoTank-C10-R3:B1,2026-03-15,2036-03-15,1,16
2,BioVault-Gamma-13-R2:B2,2026-07-19,2036-07-19,6,68
3,CryoTank-E15-R2:B3,2025-01-26,2035-01-26,3,60
4,BioVault-Alpha-16-R1:B2,2026-05-01,2036-05-01,4,54
5,BioVault-Gamma-06-R3:B2,2026-06-09,2036-06-09,3,98
6,LN2-VaporTank-09-R4:B5,2026-01-02,2036-01-02,6,39
7,BioVault-Alpha-07-R1:B4,2025-08-26,2035-08-26,5,51
8,CryoTank-A08-R1:B1,2025-07-27,2035-07-27,2,86
9,BioVault-Beta-25-R3:B1,2026-04-18,2036-04-18,4,1
10,CryoTank-A14-R2:B2,2025-04-11,2035-04-11,4,65
11,BioVault-Gamma-06-R4:B2,2026-05-26,2036-05-26,3,4
12,LN2-VaporTank-22-R1:B2,2026-03-19,2036-03-19,4,82
13,CryoTank-B01-R4:B2,2025-08-14,2035-08-14,6,22
14,BioVault-Alpha-02-R3:B4,2026-03-31,2036-03-31,4,28
15,LN2-VaporTank-04-R2:B4,2025-09-11,2035-09-11,6,98
16,CryoTank-C18-R4:B4,2026-06-28,2036-06-28,5,21
17,BioVault-Alpha-24-R1:B5,2026-03-16,2036-03-16,1,4
18,CryoTank-D18-R4:B4,2025-11-21,2035-11-21,4,87
19,CryoTank-E05-R3:B3,2025-09-02,2035-09-02,5,53
20,BioVault-Beta-11-R3:B1,2024-11-13,2034-11-13,2,2
21,CryoTank-E12-R2:B4,2025-04-30,2035-04-30,2,16
22,BioVault-Alpha-16-R4:B5,2026-05-25,2036-05-25,6,69
23,BioVault-Beta-19-R3:B1,2024-12-21,2034-12-21,3,67
24,BioVault-Gamma-16-R2:B3,2025-06-30,2035-06-30,4,23
25,CryoTank-E16-R1:B1,2026-08-05,2036-08-05,4,43
26,BioVault-Alpha-11-R4:B1,2025-03-17,2035-03-17,5,95
27,CryoTank-A04-R3:B1,2026-02-22,2036-02-22,1,64
28,BioVault-Alpha-11-R3:B5,2025-08-30,2035-08-30,5,41
29,BioVault-Gamma-13-R4:B3,2025-01-25,2035-01-25,3,75
30,BioVault-Gamma-18-R1:B4,2026-03-05,2036-03-05,3,30
31,LN2-VaporTank-09-R1:B1,2026-01-03,2036-01-03,4,67
32,BioVault-Alpha-03-R4:B1,2026-01-28,2036-01-28,4,21
33,BioVault-Alpha-25-R2:B4,2025-03-13,2035-03-13,2,18
34,CryoTank-C17-R4:B2,2025-01-18,2035-01-18,6,28
35,BioVault-Alpha-05-R1:B5,2025-08-22,2035-08-22,4,60
36,BioVault-Gamma-22-R3:B2,2026-07-05,2036-07-05,4,22
37,CryoTank-E06-R1:B4,2025-08-26,2035-08-26,1,62
38,BioVault-Alpha-13-R2:B5,2026-05-02,2036-05-02,3,74
39,CryoTank-C07-R4:B2,2026-06-05,2036-06-05,5,79
40,CryoTank-E11-R3:B1,2025-02-04,2035-02-04,6,5
41,CryoTank-E23-R4:B5,2025-01-15,2035-01-15,1,56
42,CryoTank-A02-R1:B3,2026-06-06,2036-06-06,2,77
43,LN2-VaporTank-13-R3:B2,2025-08-05,2035-08-05,6,16
44,LN2-VaporTank-07-R3:B3,2024-12-22,2034-12-22,6,48
45,CryoTank-A03-R1:B4,2026-05-17,2036-05-17,1,5
46,CryoTank-A14-R2:B5,2025-12-06,2035-12-06,5,93
47,BioVault-Beta-21-R2:B5,2025-11-27,2035-11-27,3,40
48,CryoTank-B24-R4:B2,2026-02-16,2036-02-16,3,35
49,CryoTank-D25-R4:B5,2025-05-13,2035-05-13,1,50
50,CryoTank-E04-R3:B1,2025-08-26,2035-08-26,1,9
51,CryoTank-A01-R2:B2,2024-11-11,2034-11-11,4,7
52,LN2-VaporTank-03-R1:B5,2025-08-30,2035-08-30,5,82
53,CryoTank-D06-R1:B3,2025-08-02,2035-08-02,5,62
54,LN2-VaporTank-08-R2:B1,2026-06-02,2036-06-02,5,96
55,CryoTank-C11-R4:B4,2026-02-17,2036-02-17,3,81
56,CryoTank-C16-R2:B2,2025-01-20,2035-01-20,4,89
57,BioVault-Beta-19-R2:B1,2025-08-21,2035-08-21,4,28
58,CryoTank-D15-R1:B1,2025-07-12,2035-07-12,6,55
59,CryoTank-B09-R4:B4,2026-03-22,2036-03-22,4,96
60,BioVault-Gamma-05-R2:B5,2026-06-29,2036-06-29,6,47
61,BioVault-Gamma-22-R1:B3,2024-11-10,2034-11-10,2,37
62,BioVault-Gamma-08-R3:B4,2025-03-12,2035-03-12,6,58
63,BioVault-Gamma-02-R1:B1,2026-06-18,2036-06-18,4,17
64,BioVault-Beta-18-R1:B1,2025-07-31,2035-07-31,3,14
65,BioVault-Alpha-21-R2:B5,2025-04-19,2035-04-19,4,54
66,LN2-VaporTank-09-R1:B3,2025-04-03,2035-04-03,4,3
67,BioVault-Alpha-22-R3:B3,2026-05-23,2036-05-23,1,62
68,LN2-VaporTank-06-R2:B2,2026-06-07,2036-06-07,6,25
69,CryoTank-A10-R4:B3,2026-04-12,2036-04-12,6,98
70,CryoTank-C22-R1:B1,2025-02-07,2035-02-07,4,64
71,CryoTank-E24-R3:B5,2026-08-04,2036-08-04,4,72
72,BioVault-Alpha-01-R1:B2,2026-06-11,2036-06-11,5,93
73,BioVault-Alpha-18-R3:B1,2026-03-12,2036-03-12,5,34
74,BioVault-Gamma-09-R1:B2,2025-11-19,2035-11-19,4,28
75,LN2-VaporTank-09-R2:B4,2025-01-28,2035-01-28,5,52
76,CryoTank-D05-R1:B1,2025-10-26,2035-10-26,4,32
77,LN2-VaporTank-15-R3:B5,2025-03-09,2035-03-09,4,89
78,CryoTank-E23-R1:B3,2025-03-29,2035-03-29,5,63
79,CryoTank-B02-R3:B1,2025-12-25,2035-12-25,2,5
80,CryoTank-E05-R3:B5,2025-12-18,2035-12-18,3,20
81,BioVault-Gamma-03-R2:B5,2025-07-30,2035-07-30,2,90
82,CryoTank-E03-R4:B1,2026-04-02,2036-04-02,6,86
83,CryoTank-D17-R4:B5,2026-01-16,2036-01-16,3,93
84,BioVault-Alpha-03-R1:B2,2026-01-27,2036-01-27,5,46
85,CryoTank-B17-R4:B2,2024-12-05,2034-12-05,6,30
86,BioVault-Gamma-24-R2:B3,2026-08-08,2036-08-08,3,74
87,BioVault-Alpha-22-R4:B3,2025-11-06,2035-11-06,5,55
88,BioVault-Beta-24-R4:B2,2025-01-31,2035-01-31,2,75
89,CryoTank-C09-R3:B2,2026-01-22,2036-01-22,1,27
90,CryoTank-D06-R3:B1,2025-05-06,2035-05-06,2,68
91,BioVault-Beta-23-R3:B5,2025-04-13,2035-04-13,1,66
92,BioVault-Gamma-03-R1:B4,2026-02-23,2036-02-23,5,58
93,BioVault-Gamma-23-R4:B1,2026-01-08,2036-01-08,5,22
94,CryoTank-C18-R3:B1,2025-09-20,2035-09-20,1,36
95,BioVault-Beta-05-R1:B5,2025-05-31,2035-05-31,2,99
96,BioVault-Beta-21-R4:B2,2026-04-05,2036-04-05,1,17
97,BioVault-Gamma-08-R2:B2,2025-02-18,2035-02-18,3,53
98,BioVault-Alpha-01-R3:B3,2025-10-07,2035-10-07,2,86
99,BioVault-Gamma-18-R1:B4,2026-06-21,2036-06-21,5,38
100,BioVault-Gamma-07-R1:B4,2025-12-21,2035-12-21,5,43
